Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Ecotype,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,Experimental_Factor:_developmental_stage (exp),Experimental_Factor:_organism_part (exp),Experimental_Factor:_sampling_site (exp),External_Id,Genotype,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,organism_part,Organism,Platform,ReleaseDate,Sample Name,Sample_name,SRA Study,Submitter_Id,Sampling_site
ERR3333398,28 to 35,RNA-Seq,152,4738230184,PRJEB32665,SAMEA5618900,ArrayExpress,1541669211,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",flower stage 15,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358113,flower stage 15,flower,not applicable,SAMEA5618900,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 19_p,PAIRED,PolyA,TRANSCRIPTOMIC,flower,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618900,E-MTAB-7978:Sample 19,ERP115370,E-MTAB-7978:Sample 19,
ERR3333399,28 to 35,RNA-Seq,152,6785336088,PRJEB32665,SAMEA5618901,ArrayExpress,2284094781,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",flower stage 15,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358114,flower stage 15,petal,not applicable,SAMEA5618901,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 2_p,PAIRED,PolyA,TRANSCRIPTOMIC,petal,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618901,E-MTAB-7978:Sample 2,ERP115370,E-MTAB-7978:Sample 2,
ERR3333400,35 to 42,RNA-Seq,152,6460593408,PRJEB32665,SAMEA5618902,ArrayExpress,2141688860,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358115,adult,fruit septum,not applicable,SAMEA5618902,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 20_p,PAIRED,PolyA,TRANSCRIPTOMIC,fruit septum,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618902,E-MTAB-7978:Sample 20,ERP115370,E-MTAB-7978:Sample 20,
ERR3333401,35 to 42,RNA-Seq,152,6174389872,PRJEB32665,SAMEA5618903,ArrayExpress,2042999680,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358116,adult,fruit valve,not applicable,SAMEA5618903,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 21_p,PAIRED,PolyA,TRANSCRIPTOMIC,fruit valve,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618903,E-MTAB-7978:Sample 21,ERP115370,E-MTAB-7978:Sample 21,
ERR3333402,14,RNA-Seq,152,5944260504,PRJEB32665,SAMEA5618904,ArrayExpress,1952405724,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",callus,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358117,callus,plant callus,not applicable,SAMEA5618904,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 22_p,PAIRED,PolyA,TRANSCRIPTOMIC,plant callus,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618904,E-MTAB-7978:Sample 22,ERP115370,E-MTAB-7978:Sample 22,
ERR3333403,14,RNA-Seq,152,5972313320,PRJEB32665,SAMEA5618905,ArrayExpress,1960266701,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",callus,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358118,callus,plant callus,not applicable,SAMEA5618905,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 23_p,PAIRED,PolyA,TRANSCRIPTOMIC,plant callus,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618905,E-MTAB-7978:Sample 23,ERP115370,E-MTAB-7978:Sample 23,
ERR3333404,3,RNA-Seq,152,5485679240,PRJEB32665,SAMEA5618906,ArrayExpress,1815746078,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",cell culture,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358119,cell culture,root,not applicable,SAMEA5618906,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 24_p,PAIRED,PolyA,TRANSCRIPTOMIC,root,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618906,E-MTAB-7978:Sample 24,ERP115370,E-MTAB-7978:Sample 24,
ERR3333405,10,RNA-Seq,152,5493636440,PRJEB32665,SAMEA5618907,ArrayExpress,1806015557,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",cell culture,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358120,cell culture,root,not applicable,SAMEA5618907,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 25_p,PAIRED,PolyA,TRANSCRIPTOMIC,root,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618907,E-MTAB-7978:Sample 25,ERP115370,E-MTAB-7978:Sample 25,
ERR3333406,7,RNA-Seq,152,5535482344,PRJEB32665,SAMEA5618908,ArrayExpress,1831278972,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",seedling,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358121,seedling,cotyledon,not applicable,SAMEA5618908,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 26_p,PAIRED,PolyA,TRANSCRIPTOMIC,cotyledon,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618908,E-MTAB-7978:Sample 26,ERP115370,E-MTAB-7978:Sample 26,
ERR3333407,7,RNA-Seq,152,4988661736,PRJEB32665,SAMEA5618909,ArrayExpress,1669616597,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",seedling,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358122,seedling,hypocotyl,not applicable,SAMEA5618909,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 27_p,PAIRED,PolyA,TRANSCRIPTOMIC,hypocotyl,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618909,E-MTAB-7978:Sample 27,ERP115370,E-MTAB-7978:Sample 27,
ERR3333408,7,RNA-Seq,152,4939758624,PRJEB32665,SAMEA5618910,ArrayExpress,1652057392,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",seedling,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358123,seedling,root tip,not applicable,SAMEA5618910,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 28_p,PAIRED,PolyA,TRANSCRIPTOMIC,root tip,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618910,E-MTAB-7978:Sample 28,ERP115370,E-MTAB-7978:Sample 28,
ERR3333409,7,RNA-Seq,152,5005883792,PRJEB32665,SAMEA5618911,ArrayExpress,1658910946,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",seedling,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358124,seedling,root tip,upper zone,SAMEA5618911,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 29_p,PAIRED,PolyA,TRANSCRIPTOMIC,root tip,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618911,E-MTAB-7978:Sample 29,ERP115370,E-MTAB-7978:Sample 29,upper zone
ERR3333410,28 to 35,RNA-Seq,152,6655171800,PRJEB32665,SAMEA5618912,ArrayExpress,2237325771,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",flower stage 15,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358125,flower stage 15,stamen,not applicable,SAMEA5618912,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 3_p,PAIRED,PolyA,TRANSCRIPTOMIC,stamen,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618912,E-MTAB-7978:Sample 3,ERP115370,E-MTAB-7978:Sample 3,
ERR3333411,7,RNA-Seq,152,5562087512,PRJEB32665,SAMEA5618913,ArrayExpress,1834797801,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",seedling,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358126,seedling,"mixed shoot apical meristem, cotyledon and first leaves",not applicable,SAMEA5618913,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 30_p,PAIRED,PolyA,TRANSCRIPTOMIC,"mixed shoot apical meristem\, cotyledon and first leaves",Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618913,E-MTAB-7978:Sample 30,ERP115370,E-MTAB-7978:Sample 30,
ERR3333412,22,RNA-Seq,152,5525245296,PRJEB32665,SAMEA5618914,ArrayExpress,1806021510,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358127,adult,cotyledon,not applicable,SAMEA5618914,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 31_p,PAIRED,PolyA,TRANSCRIPTOMIC,cotyledon,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618914,E-MTAB-7978:Sample 31,ERP115370,E-MTAB-7978:Sample 31,
ERR3333413,22,RNA-Seq,152,5192231688,PRJEB32665,SAMEA5618915,ArrayExpress,1690190180,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358128,adult,rosette leaf,rosette leaf 1,SAMEA5618915,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 32_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618915,E-MTAB-7978:Sample 32,ERP115370,E-MTAB-7978:Sample 32,rosette leaf 1
ERR3333414,22,RNA-Seq,152,5111900600,PRJEB32665,SAMEA5618916,ArrayExpress,1677176667,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358129,adult,rosette leaf,rosette leaf 2,SAMEA5618916,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 33_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618916,E-MTAB-7978:Sample 33,ERP115370,E-MTAB-7978:Sample 33,rosette leaf 2
ERR3333415,22,RNA-Seq,152,5374273728,PRJEB32665,SAMEA5618917,ArrayExpress,1752303991,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358130,adult,rosette leaf,rosette leaf 3,SAMEA5618917,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 34_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618917,E-MTAB-7978:Sample 34,ERP115370,E-MTAB-7978:Sample 34,rosette leaf 3
ERR3333416,22,RNA-Seq,152,5038960968,PRJEB32665,SAMEA5618918,ArrayExpress,1639192117,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358131,adult,rosette leaf,rosette leaf 4,SAMEA5618918,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 35_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618918,E-MTAB-7978:Sample 35,ERP115370,E-MTAB-7978:Sample 35,rosette leaf 4
ERR3333417,22,RNA-Seq,152,4884887536,PRJEB32665,SAMEA5618919,ArrayExpress,1605886911,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358132,adult,rosette leaf,rosette leaf 5,SAMEA5618919,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 36_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618919,E-MTAB-7978:Sample 36,ERP115370,E-MTAB-7978:Sample 36,rosette leaf 5
ERR3333418,22,RNA-Seq,152,6802549328,PRJEB32665,SAMEA5618920,ArrayExpress,2221049187,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358133,adult,rosette leaf,rosette leaf 6,SAMEA5618920,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 37_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618920,E-MTAB-7978:Sample 37,ERP115370,E-MTAB-7978:Sample 37,rosette leaf 6
ERR3333419,22,RNA-Seq,152,5535164360,PRJEB32665,SAMEA5618921,ArrayExpress,1810403626,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358134,adult,rosette leaf,rosette leaf 7,SAMEA5618921,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 38_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618921,E-MTAB-7978:Sample 38,ERP115370,E-MTAB-7978:Sample 38,rosette leaf 7
ERR3333420,22,RNA-Seq,152,5039258128,PRJEB32665,SAMEA5618922,ArrayExpress,1667937828,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358135,adult,rosette leaf,rosette leaf 8,SAMEA5618922,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 39_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618922,E-MTAB-7978:Sample 39,ERP115370,E-MTAB-7978:Sample 39,rosette leaf 8
ERR3333421,28 to 35,RNA-Seq,152,6509922424,PRJEB32665,SAMEA5618923,ArrayExpress,2188033492,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",flower stage 15,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358136,flower stage 15,carpel,not applicable,SAMEA5618923,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 4_p,PAIRED,PolyA,TRANSCRIPTOMIC,carpel,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618923,E-MTAB-7978:Sample 4,ERP115370,E-MTAB-7978:Sample 4,
ERR3333422,22,RNA-Seq,152,4890263928,PRJEB32665,SAMEA5618924,ArrayExpress,1615346594,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358137,adult,rosette leaf,rosette leaf 9,SAMEA5618924,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 40_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618924,E-MTAB-7978:Sample 40,ERP115370,E-MTAB-7978:Sample 40,rosette leaf 9
