Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Tissue,dev_stage,Age
SRR3581707,RNA-Seq,50,1512761950,PRJNA314076,SAMN05170750,Plant,1023673923,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795974,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pod of the silique 1 (POD1),SRP075604,Pod 1,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581708,RNA-Seq,50,1496748000,PRJNA314076,SAMN05170751,Plant,1011549926,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1795976,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Silique 2 (SL2),SRP075604,Silique 2,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581709,RNA-Seq,50,1615953200,PRJNA314076,SAMN05170752,Plant,1105320883,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795980,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seeds 3 (SD3),SRP075604,Seed 3,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581710,RNA-Seq,50,1600608350,PRJNA314076,SAMN05170753,Plant,1056157255,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1795987,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pod of the silique 3 (POD3),SRP075604,Pod 3,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581711,RNA-Seq,50,1426842500,PRJNA314076,SAMN05170754,Plant,950633649,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1795994,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Silique 4 (SL4),SRP075604,Silique 4,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581712,RNA-Seq,50,1767144800,PRJNA314076,SAMN05170755,Plant,1216258258,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795996,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seeds 5 (SD5),SRP075604,Seed 5,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581713,RNA-Seq,50,1395771400,PRJNA314076,SAMN05170756,Plant,915457415,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795997,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pod of the silique 5 (POD5),SRP075604,Pod 5,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581714,RNA-Seq,50,1408266950,PRJNA314076,SAMN05170757,Plant,918666112,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795998,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Silique 6 (SL6),SRP075604,Silique 6,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581715,RNA-Seq,50,1817947600,PRJNA314076,SAMN05170758,Plant,1262249600,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796004,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seeds 7 (SD7),SRP075604,Seed 7,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581716,RNA-Seq,50,1561542900,PRJNA314076,SAMN05170759,Plant,1069653098,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796018,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pod of the silique 7 (POD7),SRP075604,Pod 7,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581717,RNA-Seq,50,1543654800,PRJNA314076,SAMN05170760,Plant,1030476200,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796030,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Silique 8 (SL8),SRP075604,Silique 8,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581719,RNA-Seq,50,1278814600,PRJNA314076,SAMN05170761,Plant,860147495,MOSCOW STATE UNIVERSITY,public,"fastq,sra",s3,s3.us-east-1,Col-0 (CS70000),SRX1796042,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Young seeds 1 (SD.y1),SRP075604,Seed from silique 1,abscission of the first flower,
SRR3581720,RNA-Seq,50,1406556950,PRJNA314076,SAMN05170762,Plant,948045932,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796053,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Young seeds 2 (SD.y2),SRP075604,Seed from silique 2,abscission of the first flower,
SRR3581721,RNA-Seq,50,1374568900,PRJNA314076,SAMN05170763,Plant,916432850,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796065,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Young seeds 3 (SD.y3),SRP075604,Seed from silique 3,abscission of the first flower,
SRR3581724,RNA-Seq,50,1366781250,PRJNA314076,SAMN05170764,Plant,921008986,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796073,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Young seeds 4 (SD.y4),SRP075604,Seed from silique 4,abscission of the first flower,
SRR3581726,RNA-Seq,50,1304287100,PRJNA314076,SAMN05170765,Plant,873434963,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796085,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Young seeds 5 (SD.y5),SRP075604,Seed from silique 5,abscission of the first flower,
SRR3581727,RNA-Seq,50,1350136000,PRJNA314076,SAMN05170766,Plant,924050117,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796089,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Ovules from 6th and 7th flowers (OV.y6-7),SRP075604,Ovule,abscission of the first flower,
SRR3581728,RNA-Seq,50,1612090300,PRJNA314076,SAMN05170767,Plant,1096273666,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796146,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Stigmatic tissue (STI),SRP075604,Stigma,abscission of the first flower,
SRR3581730,RNA-Seq,50,1522095250,PRJNA314076,SAMN05170768,Plant,1039036128,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796153,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Carpel of 6th and 7th flowers (POD.y6-7),SRP075604,Carpel,abscission of the first flower,
SRR3581731,RNA-Seq,50,1335106050,PRJNA314076,SAMN05170769,Plant,927091603,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796162,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Dry Seeds (SD.d),SRP075604,Seed,Dry seeds,
SRR3581732,RNA-Seq,50,1902896150,PRJNA314076,SAMN05170770,Plant,1282746575,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796178,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Germinating seeds 1 (SD.g1),SRP075604,Seed,,1 day after soaking
SRR3581733,RNA-Seq,50,1262548550,PRJNA314076,SAMN05170771,Plant,835227550,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796183,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Germinating seeds 2 (SD.g2),SRP075604,Seed,,2 day after soaking
SRR3581734,RNA-Seq,50,1297810500,PRJNA314076,SAMN05170772,Plant,852943168,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796187,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Germinating seeds 3 (SD.g3),SRP075604,Seed,,3 day after soaking
SRR3581735,RNA-Seq,50,2789998800,PRJNA314076,SAMN05170773,Plant,1900235462,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796188,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seeds from the senescent silique 1 (SD.sn1),SRP075604,Seed,first silique was yellow and ready to open,
SRR3581736,RNA-Seq,50,1196140450,PRJNA314076,SAMN05170774,Plant,772029427,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796193,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pod of the senescent silique 1 (POD.sn1),SRP075604,Pod,first silique was yellow and ready to open,
SRR3581737,RNA-Seq,50,1281457200,PRJNA314076,SAMN05170775,Plant,848262087,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796196,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Senescent silique 2 (SL.sn2),SRP075604,Silique,first silique was yellow and ready to open,
SRR3581738,RNA-Seq,50,1373995650,PRJNA314076,SAMN05170776,Plant,952564831,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796199,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Senescent internode (IN.sn),SRP075604,Internode,first silique was yellow and ready to open,
SRR3581740,RNA-Seq,50,1296992800,PRJNA314076,SAMN05170708,Plant,901932132,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796252,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seedling Hypocotyl (S.H),SRP075604,Hypocotyl,,1 day
SRR3581831,RNA-Seq,50,2394620300,PRJNA314076,SAMN05170709,Plant,1641310104,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796253,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seedling Meristem (S.M),SRP075604,Shoot apical meristem,,1 day
SRR3581833,RNA-Seq,50,1235362700,PRJNA314076,SAMN05170710,Plant,835159848,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796254,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seedling Cotyledons (S.C),SRP075604,Cotyledon,,1 day
SRR3581834,RNA-Seq,50,1284051150,PRJNA314076,SAMN05170711,Plant,886876973,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796256,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seedling Root (S.R),SRP075604,Root,,1 day
SRR3581835,RNA-Seq,50,1217398400,PRJNA314076,SAMN05170712,Plant,835200076,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796257,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Root Apex (R.A),SRP075604,Root Apex,,7 day
SRR3581836,RNA-Seq,50,1212589450,PRJNA314076,SAMN05170713,Plant,834225739,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796260,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Root (R ),SRP075604,Root,,7 day
SRR3581837,RNA-Seq,50,1592173700,PRJNA314076,SAMN05170714,Plant,1084959088,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796262,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Leaf Petiole of the young leaf (L.PET.y),SRP075604,Leaf petiole,,7 day
SRR3581838,RNA-Seq,50,1440359650,PRJNA314076,SAMN05170715,Plant,976702097,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796275,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Leaf Lamina of the young leaf (L.LAM.y),SRP075604,Leaf blade,,7 day
SRR3581839,RNA-Seq,50,1252444800,PRJNA314076,SAMN05170716,Plant,849425043,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796276,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,"Leaf Petiole, intermediate 1 (L.PET.i1)",SRP075604,Leaf petiole,,9 day
SRR3581840,RNA-Seq,50,1156330850,PRJNA314076,SAMN05170717,Plant,786679959,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796277,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,"Leaf Lamina, intermediate 1 (L.LAM.i1)",SRP075604,Leaf blade,,9 day
SRR3581841,RNA-Seq,50,1228497450,PRJNA314076,SAMN05170718,Plant,832989835,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796278,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,"Leaf Petiole, intermediate 2 (L.PET.i2)",SRP075604,Leaf petiole,,12 day
SRR3581842,RNA-Seq,50,1136931850,PRJNA314076,SAMN05170719,Plant,771552803,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796279,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,"Leaf Vein, intermediate 2 (L.VN.i2)",SRP075604,Leaf midrib,,12 day
SRR3581843,RNA-Seq,50,1216642500,PRJNA314076,SAMN05170720,Plant,826346834,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796280,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,"Leaf Lamina, intermediate 2 (L.LAM.i2)",SRP075604,Leaf blade,,12 day
SRR3581844,RNA-Seq,50,1410621150,PRJNA314076,SAMN05170721,Plant,961119571,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796281,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Leaf Petiole of the mature leaf (L.PET.lg),SRP075604,Leaf petiole,anthesis of the first flower,
SRR3581845,RNA-Seq,50,1267157700,PRJNA314076,SAMN05170722,Plant,867397751,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796282,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Leaf Vein of the mature leaf (L.VN.lg),SRP075604,Leaf midrib,anthesis of the first flower,
SRR3581846,RNA-Seq,50,1333356250,PRJNA314076,SAMN05170723,Plant,915759081,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796283,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Leaf Lamina of the mature leaf (L.LAM.lg),SRP075604,Leaf blade,anthesis of the first flower,
SRR3581847,RNA-Seq,50,1355717000,PRJNA314076,SAMN05170724,Plant,867140076,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796284,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,"Leaf, mature (L.lg)",SRP075604,Leaf,anthesis of the first flower,
SRR3581848,RNA-Seq,50,1386961050,PRJNA314076,SAMN05170725,Plant,956126953,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796285,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Leaf Petiole of the senescent leaf (L.PET.sn),SRP075604,Leaf petiole,first silique was yellow and ready to open,
